task_id,project_id,title,description,priority,status,estimate_points,creator_user_id,created_at,updated_at,due_date
522,56,Task 522 for project 56,Implement feature 22 and write tests.,HIGH,IN_PROGRESS,3,196,2025-01-02 21:34:21,2025-01-21 21:34:21,2025-02-19 21:34:21
523,61,Task 523 for project 61,Implement feature 23 and write tests.,LOW,REVIEW,5,5,2024-12-18 18:53:15,2025-03-08 18:53:15,2024-12-27 18:53:15
524,67,Task 524 for project 67,Implement feature 24 and write tests.,MEDIUM,IN_PROGRESS,2,274,2025-04-05 20:16:18,2025-05-13 20:16:18,
525,33,Task 525 for project 33,Implement feature 25 and write tests.,HIGH,DONE,2,288,2024-09-09 16:03:19,2024-09-29 16:03:19,2024-10-24 16:03:19
526,8,Task 526 for project 8,Implement feature 26 and write tests.,LOW,OPEN,5,111,2025-02-17 02:59:33,2025-03-01 02:59:33,2025-03-30 02:59:33
527,58,Task 527 for project 58,Implement feature 27 and write tests.,MEDIUM,REVIEW,2,172,2025-02-21 09:08:12,2025-05-03 09:08:12,2025-03-29 09:08:12
528,33,Task 528 for project 33,Implement feature 28 and write tests.,MEDIUM,IN_PROGRESS,3,177,2024-08-19 00:26:48,2024-11-13 00:26:48,2024-09-11 00:26:48
529,78,Task 529 for project 78,Implement feature 29 and write tests.,LOW,CANCELLED,5,102,2025-09-25 19:54:21,2025-09-27 14:41:22,2025-11-14 19:54:21
530,46,Task 530 for project 46,Implement feature 30 and write tests.,MEDIUM,IN_PROGRESS,5,167,2025-09-04 02:03:54,2025-09-27 14:41:22,2025-10-22 02:03:54
531,11,Task 531 for project 11,Implement feature 31 and write tests.,CRITICAL,REVIEW,1,196,2025-03-14 03:52:33,2025-04-04 03:52:33,2025-03-24 03:52:33
532,82,Task 532 for project 82,Implement feature 32 and write tests.,HIGH,OPEN,3,173,2025-06-27 05:55:07,2025-08-17 05:55:07,2025-08-03 05:55:07
533,10,Task 533 for project 10,Implement feature 33 and write tests.,LOW,IN_PROGRESS,1,41,2024-12-07 10:34:43,2025-01-16 10:34:43,2024-12-28 10:34:43
534,84,Task 534 for project 84,Implement feature 34 and write tests.,LOW,DONE,2,150,2025-02-27 08:44:10,2025-04-02 08:44:10,2025-03-25 08:44:10
535,57,Task 535 for project 57,Implement feature 35 and write tests.,MEDIUM,IN_PROGRESS,1,186,2025-09-12 05:38:04,2025-09-27 14:41:22,
536,22,Task 536 for project 22,Implement feature 36 and write tests.,LOW,BLOCKED,8,95,2024-08-21 13:19:30,2024-11-13 13:19:30,2024-09-06 13:19:30
537,33,Task 537 for project 33,Implement feature 37 and write tests.,MEDIUM,IN_PROGRESS,8,41,2025-01-14 04:01:35,2025-01-26 04:01:35,2025-01-21 04:01:35
538,9,Task 538 for project 9,Implement feature 38 and write tests.,MEDIUM,REVIEW,2,243,2024-09-14 10:04:06,2024-11-20 10:04:06,2024-10-10 10:04:06
539,98,Task 539 for project 98,Implement feature 39 and write tests.,MEDIUM,IN_PROGRESS,13,43,2024-10-23 08:03:19,2024-11-02 08:03:19,2024-11-02 08:03:19
540,84,Task 540 for project 84,Implement feature 40 and write tests.,MEDIUM,REVIEW,5,200,2025-03-31 21:46:35,2025-05-06 21:46:35,2025-05-18 21:46:35
541,57,Task 541 for project 57,Implement feature 41 and write tests.,LOW,IN_PROGRESS,3,65,2024-11-13 13:52:19,2024-11-16 13:52:19,2024-11-24 13:52:19
542,5,Task 542 for project 5,Implement feature 42 and write tests.,LOW,CANCELLED,5,183,2025-04-13 04:52:52,2025-06-11 04:52:52,
543,70,Task 543 for project 70,Implement feature 43 and write tests.,MEDIUM,OPEN,1,140,2025-07-15 03:12:00,2025-09-22 03:12:00,2025-08-29 03:12:00
544,23,Task 544 for project 23,Implement feature 44 and write tests.,HIGH,IN_PROGRESS,2,234,2025-07-07 11:15:19,2025-09-13 11:15:19,2025-08-17 11:15:19
545,40,Task 545 for project 40,Implement feature 45 and write tests.,HIGH,REVIEW,8,178,2025-08-12 17:19:39,2025-08-23 17:19:39,2025-10-03 17:19:39
546,57,Task 546 for project 57,Implement feature 46 and write tests.,MEDIUM,IN_PROGRESS,2,158,2025-05-14 17:23:05,2025-06-21 17:23:05,2025-05-24 17:23:05
547,2,Task 547 for project 2,Implement feature 47 and write tests.,HIGH,CANCELLED,3,1,2025-09-14 02:00:40,2025-09-27 14:41:22,
548,45,Task 548 for project 45,Implement feature 48 and write tests.,MEDIUM,DONE,5,147,2025-08-03 01:10:23,2025-09-27 14:41:22,2025-09-17 01:10:23
549,97,Task 549 for project 97,Implement feature 49 and write tests.,HIGH,OPEN,1,245,2025-03-24 07:50:03,2025-04-30 07:50:03,2025-04-21 07:50:03
550,77,Task 550 for project 77,Implement feature 0 and write tests.,HIGH,DONE,5,119,2024-08-09 05:14:32,2024-09-30 05:14:32,2024-08-22 05:14:32
551,72,Task 551 for project 72,Implement feature 1 and write tests.,MEDIUM,OPEN,2,224,2025-06-06 05:24:05,2025-08-27 05:24:05,2025-07-22 05:24:05
552,50,Task 552 for project 50,Implement feature 2 and write tests.,LOW,IN_PROGRESS,8,194,2025-01-21 22:49:49,2025-04-11 22:49:49,2025-02-18 22:49:49
553,31,Task 553 for project 31,Implement feature 3 and write tests.,MEDIUM,BLOCKED,3,265,2025-03-02 18:37:21,2025-05-09 18:37:21,2025-04-19 18:37:21
554,35,Task 554 for project 35,Implement feature 4 and write tests.,MEDIUM,IN_PROGRESS,3,212,2024-12-27 15:16:30,2025-01-19 15:16:30,
555,18,Task 555 for project 18,Implement feature 5 and write tests.,MEDIUM,DONE,13,149,2024-10-28 07:52:51,2024-12-24 07:52:51,2024-12-07 07:52:51
556,35,Task 556 for project 35,Implement feature 6 and write tests.,LOW,DONE,8,252,2024-12-27 11:20:18,2025-01-02 11:20:18,2025-01-06 11:20:18
557,69,Task 557 for project 69,Implement feature 7 and write tests.,HIGH,OPEN,3,12,2024-12-26 00:49:02,2025-01-31 00:49:02,
558,35,Task 558 for project 35,Implement feature 8 and write tests.,HIGH,DONE,8,65,2025-07-10 03:22:04,2025-08-08 03:22:04,
559,12,Task 559 for project 12,Implement feature 9 and write tests.,MEDIUM,DONE,1,78,2024-08-15 01:10:49,2024-10-07 01:10:49,2024-09-06 01:10:49
560,40,Task 560 for project 40,Implement feature 10 and write tests.,LOW,IN_PROGRESS,5,256,2025-05-19 02:01:58,2025-05-23 02:01:58,2025-07-09 02:01:58
561,43,Task 561 for project 43,Implement feature 11 and write tests.,CRITICAL,IN_PROGRESS,5,42,2024-11-25 01:57:50,2025-01-14 01:57:50,2025-01-14 01:57:50
562,10,Task 562 for project 10,Implement feature 12 and write tests.,LOW,DONE,8,279,2025-08-03 18:51:38,2025-09-04 18:51:38,2025-09-30 18:51:38
563,49,Task 563 for project 49,Implement feature 13 and write tests.,MEDIUM,DONE,5,7,2024-11-06 08:13:03,2024-12-07 08:13:03,
564,50,Task 564 for project 50,Implement feature 14 and write tests.,LOW,DONE,3,227,2025-02-11 14:07:35,2025-02-15 14:07:35,
565,26,Task 565 for project 26,Implement feature 15 and write tests.,LOW,IN_PROGRESS,3,236,2024-10-15 14:14:11,2024-12-14 14:14:11,2024-10-29 14:14:11
566,50,Task 566 for project 50,Implement feature 16 and write tests.,LOW,OPEN,1,160,2025-04-11 13:01:25,2025-04-16 13:01:25,2025-05-28 13:01:25
567,96,Task 567 for project 96,Implement feature 17 and write tests.,MEDIUM,CANCELLED,13,282,2025-09-12 05:27:31,2025-09-27 14:41:22,2025-10-13 05:27:31
568,39,Task 568 for project 39,Implement feature 18 and write tests.,MEDIUM,IN_PROGRESS,3,102,2025-05-10 13:31:45,2025-08-03 13:31:45,
569,28,Task 569 for project 28,Implement feature 19 and write tests.,LOW,IN_PROGRESS,5,58,2025-02-02 21:24:41,2025-02-03 21:24:41,2025-02-23 21:24:41
570,22,Task 570 for project 22,Implement feature 20 and write tests.,MEDIUM,OPEN,5,142,2024-11-04 13:07:10,2024-11-05 13:07:10,2024-11-20 13:07:10
571,6,Task 571 for project 6,Implement feature 21 and write tests.,LOW,OPEN,5,298,2025-08-07 18:22:37,2025-09-23 18:22:37,2025-08-17 18:22:37
572,99,Task 572 for project 99,Implement feature 22 and write tests.,LOW,IN_PROGRESS,13,46,2025-02-12 19:12:30,2025-05-10 19:12:30,2025-02-18 19:12:30
573,80,Task 573 for project 80,Implement feature 23 and write tests.,MEDIUM,OPEN,13,174,2024-09-19 06:08:46,2024-10-08 06:08:46,2024-10-31 06:08:46
574,90,Task 574 for project 90,Implement feature 24 and write tests.,LOW,IN_PROGRESS,1,275,2024-10-26 00:36:54,2024-12-05 00:36:54,2024-11-10 00:36:54
575,72,Task 575 for project 72,Implement feature 25 and write tests.,LOW,IN_PROGRESS,5,178,2025-07-10 09:00:08,2025-07-12 09:00:08,
576,89,Task 576 for project 89,Implement feature 26 and write tests.,MEDIUM,OPEN,13,194,2025-05-08 19:24:55,2025-06-09 19:24:55,
577,6,Task 577 for project 6,Implement feature 27 and write tests.,MEDIUM,DONE,2,249,2025-07-09 10:16:50,2025-09-27 14:41:22,2025-08-13 10:16:50
578,63,Task 578 for project 63,Implement feature 28 and write tests.,MEDIUM,REVIEW,3,98,2024-12-26 13:39:49,2025-02-23 13:39:49,2025-01-16 13:39:49
579,36,Task 579 for project 36,Implement feature 29 and write tests.,HIGH,OPEN,3,284,2024-12-06 03:42:26,2025-02-01 03:42:26,2024-12-16 03:42:26
580,38,Task 580 for project 38,Implement feature 30 and write tests.,MEDIUM,OPEN,3,135,2025-05-15 18:09:58,2025-08-04 18:09:58,2025-07-04 18:09:58
581,65,Task 581 for project 65,Implement feature 31 and write tests.,HIGH,DONE,5,195,2024-12-25 17:17:57,2025-03-14 17:17:57,
582,47,Task 582 for project 47,Implement feature 32 and write tests.,MEDIUM,OPEN,3,123,2025-04-09 16:51:38,2025-07-02 16:51:38,
583,69,Task 583 for project 69,Implement feature 33 and write tests.,MEDIUM,OPEN,5,199,2024-12-29 02:06:45,2025-03-09 02:06:45,2025-01-30 02:06:45
584,20,Task 584 for project 20,Implement feature 34 and write tests.,MEDIUM,OPEN,2,145,2025-04-11 04:23:24,2025-04-25 04:23:24,2025-05-02 04:23:24
585,13,Task 585 for project 13,Implement feature 35 and write tests.,LOW,OPEN,13,268,2024-09-24 09:41:30,2024-10-16 09:41:30,2024-10-03 09:41:30
586,5,Task 586 for project 5,Implement feature 36 and write tests.,CRITICAL,DONE,3,104,2024-10-25 18:20:32,2024-10-29 18:20:32,2024-11-01 18:20:32
587,74,Task 587 for project 74,Implement feature 37 and write tests.,MEDIUM,OPEN,3,199,2025-08-19 03:16:01,2025-09-27 14:41:22,2025-10-03 03:16:01
588,33,Task 588 for project 33,Implement feature 38 and write tests.,LOW,DONE,3,26,2025-05-15 04:01:24,2025-05-24 04:01:24,2025-06-30 04:01:24
589,2,Task 589 for project 2,Implement feature 39 and write tests.,MEDIUM,OPEN,5,107,2025-08-20 07:09:06,2025-08-30 07:09:06,
590,60,Task 590 for project 60,Implement feature 40 and write tests.,MEDIUM,IN_PROGRESS,3,32,2025-05-10 22:50:19,2025-07-02 22:50:19,2025-07-06 22:50:19
591,48,Task 591 for project 48,Implement feature 41 and write tests.,HIGH,IN_PROGRESS,8,30,2025-02-26 01:51:07,2025-03-07 01:51:07,2025-04-14 01:51:07
592,39,Task 592 for project 39,Implement feature 42 and write tests.,HIGH,CANCELLED,2,40,2025-01-18 07:21:29,2025-01-30 07:21:29,
593,13,Task 593 for project 13,Implement feature 43 and write tests.,MEDIUM,REVIEW,2,119,2025-09-20 13:34:11,2025-09-27 14:41:22,2025-10-03 13:34:11
594,85,Task 594 for project 85,Implement feature 44 and write tests.,LOW,DONE,8,128,2024-12-20 13:35:16,2025-02-11 13:35:16,2025-01-25 13:35:16
595,96,Task 595 for project 96,Implement feature 45 and write tests.,MEDIUM,IN_PROGRESS,5,55,2025-05-08 15:36:36,2025-08-01 15:36:36,2025-06-22 15:36:36
596,55,Task 596 for project 55,Implement feature 46 and write tests.,MEDIUM,DONE,5,54,2024-12-11 04:14:25,2025-02-19 04:14:25,
597,52,Task 597 for project 52,Implement feature 47 and write tests.,MEDIUM,OPEN,2,259,2025-04-22 18:23:07,2025-07-07 18:23:07,2025-05-27 18:23:07
598,57,Task 598 for project 57,Implement feature 48 and write tests.,MEDIUM,DONE,5,181,2025-04-05 09:36:15,2025-05-22 09:36:15,2025-04-26 09:36:15
599,53,Task 599 for project 53,Implement feature 49 and write tests.,LOW,OPEN,5,221,2025-04-11 20:15:05,2025-06-19 20:15:05,2025-05-18 20:15:05
600,28,Task 600 for project 28,Implement feature 0 and write tests.,LOW,OPEN,1,193,2025-02-16 23:15:14,2025-04-14 23:15:14,2025-03-17 23:15:14
601,51,Task 601 for project 51,Implement feature 1 and write tests.,HIGH,CANCELLED,3,1,2024-08-30 12:51:09,2024-11-14 12:51:09,
602,3,Task 602 for project 3,Implement feature 2 and write tests.,MEDIUM,IN_PROGRESS,5,266,2024-11-16 12:52:10,2024-12-24 12:52:10,
603,1,Task 603 for project 1,Implement feature 3 and write tests.,LOW,REVIEW,2,154,2025-01-22 22:57:26,2025-01-24 22:57:26,2025-02-12 22:57:26
604,99,Task 604 for project 99,Implement feature 4 and write tests.,MEDIUM,OPEN,5,142,2025-09-04 17:28:50,2025-09-27 14:41:22,2025-11-03 17:28:50
605,20,Task 605 for project 20,Implement feature 5 and write tests.,LOW,IN_PROGRESS,1,49,2024-09-01 22:08:42,2024-09-18 22:08:42,2024-09-11 22:08:42
606,34,Task 606 for project 34,Implement feature 6 and write tests.,MEDIUM,CANCELLED,5,188,2025-02-13 16:21:35,2025-03-23 16:21:35,2025-04-06 16:21:35
607,12,Task 607 for project 12,Implement feature 7 and write tests.,MEDIUM,REVIEW,2,293,2025-06-10 03:28:08,2025-06-19 03:28:08,2025-06-24 03:28:08
608,93,Task 608 for project 93,Implement feature 8 and write tests.,MEDIUM,OPEN,5,167,2025-08-13 09:45:35,2025-09-27 14:41:22,2025-10-05 09:45:35
609,90,Task 609 for project 90,Implement feature 9 and write tests.,MEDIUM,REVIEW,1,296,2024-10-16 16:24:15,2024-10-20 16:24:15,2024-11-05 16:24:15
610,94,Task 610 for project 94,Implement feature 10 and write tests.,HIGH,CANCELLED,2,296,2025-05-26 23:13:28,2025-07-07 23:13:28,2025-05-30 23:13:28
611,45,Task 611 for project 45,Implement feature 11 and write tests.,MEDIUM,CANCELLED,3,223,2025-06-23 03:13:00,2025-07-08 03:13:00,
612,99,Task 612 for project 99,Implement feature 12 and write tests.,HIGH,DONE,5,117,2024-08-12 11:50:30,2024-09-29 11:50:30,2024-09-22 11:50:30
613,7,Task 613 for project 7,Implement feature 13 and write tests.,MEDIUM,OPEN,8,157,2025-09-14 21:54:13,2025-09-27 14:41:22,2025-10-19 21:54:13
614,20,Task 614 for project 20,Implement feature 14 and write tests.,MEDIUM,IN_PROGRESS,3,168,2025-08-28 20:08:03,2025-09-03 20:08:03,2025-09-07 20:08:03
615,87,Task 615 for project 87,Implement feature 15 and write tests.,MEDIUM,IN_PROGRESS,8,202,2025-07-15 17:34:41,2025-09-26 17:34:41,
616,65,Task 616 for project 65,Implement feature 16 and write tests.,LOW,IN_PROGRESS,2,47,2025-01-23 02:39:56,2025-03-14 02:39:56,2025-03-15 02:39:56
617,19,Task 617 for project 19,Implement feature 17 and write tests.,MEDIUM,DONE,2,68,2025-04-21 17:19:06,2025-04-27 17:19:06,2025-05-28 17:19:06
618,71,Task 618 for project 71,Implement feature 18 and write tests.,HIGH,DONE,8,205,2025-02-23 13:07:29,2025-04-19 13:07:29,2025-03-28 13:07:29
619,100,Task 619 for project 100,Implement feature 19 and write tests.,MEDIUM,DONE,5,67,2024-11-16 08:51:45,2025-01-17 08:51:45,2024-11-29 08:51:45
620,51,Task 620 for project 51,Implement feature 20 and write tests.,HIGH,IN_PROGRESS,5,293,2025-01-02 22:14:43,2025-03-10 22:14:43,2025-02-19 22:14:43
621,32,Task 621 for project 32,Implement feature 21 and write tests.,MEDIUM,DONE,2,125,2024-09-28 06:13:48,2024-11-08 06:13:48,2024-10-26 06:13:48
622,88,Task 622 for project 88,Implement feature 22 and write tests.,CRITICAL,BLOCKED,8,295,2024-10-12 04:51:17,2024-12-05 04:51:17,2024-11-08 04:51:17
623,47,Task 623 for project 47,Implement feature 23 and write tests.,LOW,OPEN,1,179,2024-12-29 13:40:32,2025-03-22 13:40:32,2025-02-06 13:40:32
624,4,Task 624 for project 4,Implement feature 24 and write tests.,HIGH,DONE,2,157,2024-12-13 01:50:10,2025-03-01 01:50:10,
625,57,Task 625 for project 57,Implement feature 25 and write tests.,HIGH,BLOCKED,5,75,2025-07-11 17:31:22,2025-08-09 17:31:22,2025-09-02 17:31:22
626,26,Task 626 for project 26,Implement feature 26 and write tests.,MEDIUM,BLOCKED,3,192,2024-12-02 18:34:35,2024-12-12 18:34:35,
627,15,Task 627 for project 15,Implement feature 27 and write tests.,MEDIUM,IN_PROGRESS,5,28,2025-02-08 09:26:17,2025-02-26 09:26:17,
628,37,Task 628 for project 37,Implement feature 28 and write tests.,MEDIUM,DONE,5,8,2025-04-27 05:43:53,2025-06-05 05:43:53,2025-05-05 05:43:53
629,58,Task 629 for project 58,Implement feature 29 and write tests.,MEDIUM,OPEN,1,242,2024-08-21 06:44:42,2024-10-28 06:44:42,2024-10-08 06:44:42
630,28,Task 630 for project 28,Implement feature 30 and write tests.,HIGH,IN_PROGRESS,13,105,2025-09-14 01:04:20,2025-09-27 14:41:22,
631,62,Task 631 for project 62,Implement feature 31 and write tests.,MEDIUM,OPEN,8,73,2024-08-17 21:28:34,2024-11-09 21:28:34,2024-10-14 21:28:34
632,68,Task 632 for project 68,Implement feature 32 and write tests.,MEDIUM,OPEN,5,23,2025-02-18 00:44:27,2025-03-15 00:44:27,2025-03-09 00:44:27
633,90,Task 633 for project 90,Implement feature 33 and write tests.,LOW,REVIEW,3,139,2024-09-13 20:16:12,2024-09-21 20:16:12,2024-09-14 20:16:12
634,50,Task 634 for project 50,Implement feature 34 and write tests.,MEDIUM,DONE,1,139,2025-05-10 09:39:39,2025-05-12 09:39:39,
635,38,Task 635 for project 38,Implement feature 35 and write tests.,LOW,DONE,5,198,2025-01-30 03:59:05,2025-04-05 03:59:05,
636,91,Task 636 for project 91,Implement feature 36 and write tests.,CRITICAL,OPEN,3,51,2025-04-05 15:12:53,2025-06-12 15:12:53,2025-05-14 15:12:53
637,12,Task 637 for project 12,Implement feature 37 and write tests.,LOW,IN_PROGRESS,2,96,2025-01-05 01:59:30,2025-03-17 01:59:30,2025-02-04 01:59:30
638,92,Task 638 for project 92,Implement feature 38 and write tests.,CRITICAL,DONE,3,12,2024-09-03 11:43:40,2024-10-12 11:43:40,2024-10-07 11:43:40
639,43,Task 639 for project 43,Implement feature 39 and write tests.,HIGH,IN_PROGRESS,8,251,2025-06-05 04:11:36,2025-06-07 04:11:36,
640,45,Task 640 for project 45,Implement feature 40 and write tests.,MEDIUM,REVIEW,3,181,2025-05-06 15:25:04,2025-07-09 15:25:04,2025-05-22 15:25:04
641,36,Task 641 for project 36,Implement feature 41 and write tests.,LOW,REVIEW,5,32,2025-02-19 18:10:51,2025-02-22 18:10:51,
642,72,Task 642 for project 72,Implement feature 42 and write tests.,HIGH,IN_PROGRESS,1,144,2025-01-25 19:51:20,2025-03-16 19:51:20,2025-03-24 19:51:20
643,85,Task 643 for project 85,Implement feature 43 and write tests.,MEDIUM,REVIEW,5,71,2024-10-10 19:18:25,2024-12-15 19:18:25,
644,87,Task 644 for project 87,Implement feature 44 and write tests.,MEDIUM,OPEN,3,117,2025-06-23 18:20:48,2025-08-16 18:20:48,2025-07-03 18:20:48
645,40,Task 645 for project 40,Implement feature 45 and write tests.,MEDIUM,REVIEW,5,169,2025-07-18 11:48:35,2025-09-27 14:41:22,2025-08-01 11:48:35
646,18,Task 646 for project 18,Implement feature 46 and write tests.,MEDIUM,DONE,8,298,2025-01-07 18:01:31,2025-02-15 18:01:31,
647,89,Task 647 for project 89,Implement feature 47 and write tests.,LOW,IN_PROGRESS,1,269,2024-11-16 15:58:43,2024-12-04 15:58:43,2025-01-14 15:58:43
648,84,Task 648 for project 84,Implement feature 48 and write tests.,HIGH,IN_PROGRESS,5,290,2024-12-04 08:54:58,2025-02-10 08:54:58,2025-01-09 08:54:58
649,93,Task 649 for project 93,Implement feature 49 and write tests.,MEDIUM,DONE,3,61,2024-12-24 15:13:07,2025-01-11 15:13:07,2025-02-19 15:13:07
650,94,Task 650 for project 94,Implement feature 0 and write tests.,MEDIUM,OPEN,3,16,2025-04-08 03:27:14,2025-05-30 03:27:14,
651,53,Task 651 for project 53,Implement feature 1 and write tests.,LOW,OPEN,3,156,2025-07-13 16:53:29,2025-09-27 14:41:22,
652,95,Task 652 for project 95,Implement feature 2 and write tests.,CRITICAL,DONE,8,141,2024-11-29 15:22:27,2024-12-12 15:22:27,
653,17,Task 653 for project 17,Implement feature 3 and write tests.,MEDIUM,REVIEW,5,95,2024-08-23 23:03:34,2024-11-09 23:03:34,
654,79,Task 654 for project 79,Implement feature 4 and write tests.,LOW,DONE,3,137,2025-01-29 23:11:20,2025-04-26 23:11:20,2025-02-13 23:11:20
655,4,Task 655 for project 4,Implement feature 5 and write tests.,MEDIUM,DONE,3,184,2024-10-04 08:13:07,2024-10-21 08:13:07,2024-11-04 08:13:07
656,65,Task 656 for project 65,Implement feature 6 and write tests.,LOW,REVIEW,3,241,2025-05-21 01:47:52,2025-07-22 01:47:52,2025-06-15 01:47:52
657,61,Task 657 for project 61,Implement feature 7 and write tests.,LOW,IN_PROGRESS,1,71,2024-12-08 19:53:19,2025-01-29 19:53:19,2024-12-11 19:53:19
658,98,Task 658 for project 98,Implement feature 8 and write tests.,MEDIUM,DONE,3,8,2025-03-01 05:13:12,2025-03-29 05:13:12,
659,96,Task 659 for project 96,Implement feature 9 and write tests.,HIGH,IN_PROGRESS,2,104,2025-01-09 12:00:12,2025-03-06 12:00:12,2025-03-10 12:00:12
660,79,Task 660 for project 79,Implement feature 10 and write tests.,HIGH,IN_PROGRESS,8,251,2025-04-12 23:10:58,2025-05-13 23:10:58,
661,55,Task 661 for project 55,Implement feature 11 and write tests.,HIGH,OPEN,3,208,2024-09-05 02:23:15,2024-10-23 02:23:15,2024-10-28 02:23:15
662,93,Task 662 for project 93,Implement feature 12 and write tests.,LOW,IN_PROGRESS,1,161,2025-06-05 18:11:28,2025-08-17 18:11:28,2025-07-23 18:11:28
663,77,Task 663 for project 77,Implement feature 13 and write tests.,MEDIUM,DONE,3,275,2025-09-15 13:41:46,2025-09-19 13:41:46,2025-10-31 13:41:46
664,67,Task 664 for project 67,Implement feature 14 and write tests.,HIGH,DONE,2,56,2025-07-20 09:18:08,2025-07-25 09:18:08,2025-09-15 09:18:08
665,32,Task 665 for project 32,Implement feature 15 and write tests.,LOW,REVIEW,5,266,2025-09-25 09:17:49,2025-09-27 14:41:22,2025-11-12 09:17:49
666,72,Task 666 for project 72,Implement feature 16 and write tests.,CRITICAL,REVIEW,1,199,2025-09-08 11:59:17,2025-09-14 11:59:17,
667,25,Task 667 for project 25,Implement feature 17 and write tests.,MEDIUM,OPEN,2,150,2025-07-11 00:34:03,2025-08-16 00:34:03,2025-07-31 00:34:03
668,60,Task 668 for project 60,Implement feature 18 and write tests.,HIGH,IN_PROGRESS,2,86,2025-06-27 17:57:19,2025-07-03 17:57:19,2025-08-25 17:57:19
669,89,Task 669 for project 89,Implement feature 19 and write tests.,HIGH,IN_PROGRESS,3,265,2024-11-22 02:13:41,2025-01-18 02:13:41,2025-01-03 02:13:41
670,12,Task 670 for project 12,Implement feature 20 and write tests.,LOW,DONE,3,257,2024-10-30 12:21:38,2025-01-27 12:21:38,2024-12-07 12:21:38
671,70,Task 671 for project 70,Implement feature 21 and write tests.,LOW,OPEN,8,70,2025-06-04 21:59:02,2025-06-07 21:59:02,2025-07-03 21:59:02
672,23,Task 672 for project 23,Implement feature 22 and write tests.,MEDIUM,OPEN,3,233,2025-01-07 10:58:29,2025-01-18 10:58:29,
673,33,Task 673 for project 33,Implement feature 23 and write tests.,HIGH,IN_PROGRESS,1,166,2024-12-08 23:45:34,2024-12-23 23:45:34,
674,12,Task 674 for project 12,Implement feature 24 and write tests.,CRITICAL,REVIEW,3,59,2025-07-18 16:04:59,2025-09-23 16:04:59,2025-07-24 16:04:59
675,91,Task 675 for project 91,Implement feature 25 and write tests.,LOW,DONE,3,197,2025-09-05 00:50:36,2025-09-27 14:41:22,2025-09-16 00:50:36
676,71,Task 676 for project 71,Implement feature 26 and write tests.,HIGH,IN_PROGRESS,13,195,2024-09-06 17:09:29,2024-10-18 17:09:29,
677,73,Task 677 for project 73,Implement feature 27 and write tests.,MEDIUM,IN_PROGRESS,2,77,2024-12-07 12:54:05,2024-12-29 12:54:05,
678,99,Task 678 for project 99,Implement feature 28 and write tests.,MEDIUM,REVIEW,13,27,2025-06-25 12:15:32,2025-08-21 12:15:32,2025-08-11 12:15:32
679,37,Task 679 for project 37,Implement feature 29 and write tests.,MEDIUM,REVIEW,1,93,2024-11-02 22:03:15,2024-11-27 22:03:15,
680,1,Task 680 for project 1,Implement feature 30 and write tests.,LOW,OPEN,2,130,2024-08-13 02:15:31,2024-10-15 02:15:31,2024-10-07 02:15:31
681,70,Task 681 for project 70,Implement feature 31 and write tests.,MEDIUM,DONE,3,3,2025-08-21 21:34:38,2025-09-27 14:41:22,2025-09-28 21:34:38
682,61,Task 682 for project 61,Implement feature 32 and write tests.,HIGH,OPEN,5,233,2025-06-18 04:27:54,2025-09-02 04:27:54,2025-07-27 04:27:54
683,1,Task 683 for project 1,Implement feature 33 and write tests.,HIGH,OPEN,3,126,2025-03-07 15:05:25,2025-04-02 15:05:25,2025-04-12 15:05:25
684,7,Task 684 for project 7,Implement feature 34 and write tests.,MEDIUM,OPEN,3,95,2024-11-26 18:23:05,2024-11-30 18:23:05,2024-12-19 18:23:05
685,19,Task 685 for project 19,Implement feature 35 and write tests.,HIGH,OPEN,8,17,2025-03-23 10:02:35,2025-03-29 10:02:35,2025-03-29 10:02:35
686,14,Task 686 for project 14,Implement feature 36 and write tests.,MEDIUM,REVIEW,3,214,2024-12-20 01:28:49,2025-03-08 01:28:49,2025-01-08 01:28:49
687,85,Task 687 for project 85,Implement feature 37 and write tests.,MEDIUM,REVIEW,1,294,2024-12-19 10:01:27,2025-03-03 10:01:27,
688,47,Task 688 for project 47,Implement feature 38 and write tests.,HIGH,BLOCKED,3,19,2024-10-14 22:41:21,2024-11-24 22:41:21,
689,48,Task 689 for project 48,Implement feature 39 and write tests.,HIGH,OPEN,2,195,2024-09-25 04:05:15,2024-12-04 04:05:15,
690,9,Task 690 for project 9,Implement feature 40 and write tests.,LOW,IN_PROGRESS,2,150,2025-08-04 07:21:05,2025-09-08 07:21:05,2025-09-18 07:21:05
691,43,Task 691 for project 43,Implement feature 41 and write tests.,MEDIUM,DONE,2,270,2025-06-20 23:41:45,2025-07-16 23:41:45,2025-08-04 23:41:45
692,79,Task 692 for project 79,Implement feature 42 and write tests.,HIGH,DONE,8,30,2024-10-27 12:13:50,2025-01-02 12:13:50,2024-12-07 12:13:50
693,12,Task 693 for project 12,Implement feature 43 and write tests.,MEDIUM,IN_PROGRESS,13,248,2025-03-14 16:14:55,2025-04-23 16:14:55,2025-05-08 16:14:55
694,34,Task 694 for project 34,Implement feature 44 and write tests.,LOW,DONE,1,270,2025-05-05 10:59:37,2025-07-22 10:59:37,
695,73,Task 695 for project 73,Implement feature 45 and write tests.,HIGH,IN_PROGRESS,3,255,2025-09-11 06:42:27,2025-09-27 14:41:22,
